Id,Tipo,Intento,Nota,Tiempo,Aprobado,Distinguido,Duracion
266,B,1,63,7.2928550396209175,TRUE,FALSE,0.287355039621616
1125,B,1,65,7.397496576351841,TRUE,FALSE,0.3919965763525397
245,C,1,54,7.434646512509062,FALSE,FALSE,0.4291465125097602
1161,B,1,62,7.4705996300072,TRUE,FALSE,0.46509963000789867
646,A,1,76,7.471148660228209,TRUE,TRUE,0.46564866022890783
723,C,1,42,7.503582024219213,FALSE,FALSE,0.49808202421991155
569,C,1,58,7.507518479560531,TRUE,FALSE,0.5020184795612295
224,C,1,58,7.547273004405724,TRUE,FALSE,0.5417730044064228
193,B,1,71,7.5515205052433885,TRUE,FALSE,0.546020505244087
763,A,1,78,7.5572765068172885,TRUE,TRUE,0.551776506817987
255,C,1,50,7.562496283571818,FALSE,FALSE,0.5569962835725164
1013,A,1,78,7.565321957743436,TRUE,TRUE,0.5598219577441341
194,C,1,48,7.566101970038289,FALSE,FALSE,0.5606019700389879
1115,C,1,54,7.575485418125027,FALSE,FALSE,0.5699854181257251
900,B,1,62,7.576844941915624,TRUE,FALSE,0.5713449419163226
171,C,1,41,7.580189932563371,FALSE,FALSE,0.5746899325640697
1136,B,1,71,7.5803906051805825,TRUE,FALSE,0.574890605181281
24,A,1,72,7.582528452585393,TRUE,FALSE,0.5770284525860916
819,B,1,62,7.5887695113815425,TRUE,FALSE,0.583269511382241
354,A,1,75,7.599538083904918,TRUE,FALSE,0.5940380839056161
705,C,1,55,7.610730401895125,TRUE,FALSE,0.6052304018958239
529,A,1,73,7.611670301106642,TRUE,FALSE,0.6061703011073405
162,A,1,78,7.618759705670527,TRUE,TRUE,0.6132597056712257
359,A,1,77,7.632789989456796,TRUE,TRUE,0.6272899894574948
626,A,1,69,7.632974321193615,TRUE,FALSE,0.6274743211943132
1027,B,1,69,7.635939742056507,TRUE,FALSE,0.6304397420572059
38,B,1,64,7.638186982418119,TRUE,FALSE,0.6326869824188179
501,C,1,54,7.6415308708456,FALSE,FALSE,0.6360308708462981
1031,B,1,74,7.642742192976584,TRUE,FALSE,0.6372421929772827
684,A,1,71,7.64484394007377,TRUE,FALSE,0.6393439400744683
519,B,1,63,7.6451798978851,TRUE,FALSE,0.6396798978857987
923,B,1,62,7.645378794557473,TRUE,FALSE,0.6398787945581716
760,B,1,71,7.651332899946283,TRUE,FALSE,0.6458328999469813
873,A,1,69,7.651363805118308,TRUE,FALSE,0.6458638051190064
1043,A,1,73,7.652424931904534,TRUE,FALSE,0.6469249319052324
1054,C,1,48,7.653085918413126,FALSE,FALSE,0.6475859184138244
1172,A,1,79,7.655411897700105,TRUE,TRUE,0.6499118977008038
737,A,1,68,7.655529003983247,TRUE,FALSE,0.6500290039839456
9,A,1,80,7.6557558968124795,TRUE,TRUE,0.650255896813178
1051,C,1,62,7.655872966130119,TRUE,FALSE,0.6503729661308171
1033,B,1,65,7.6590183680345945,TRUE,FALSE,0.653518368035293
94,B,1,61,7.659163599062595,TRUE,FALSE,0.6536635990632931
507,A,1,75,7.659572775795823,TRUE,FALSE,0.6540727757965215
394,A,1,79,7.661596339497919,TRUE,TRUE,0.6560963394986175
655,A,1,72,7.6622194509909605,TRUE,FALSE,0.656719450991659
550,A,1,68,7.6657130034400325,TRUE,FALSE,0.660213003440731
867,C,1,59,7.666406900032598,TRUE,FALSE,0.6609069000332966
721,A,1,77,7.667747993717057,TRUE,TRUE,0.6622479937177559
946,B,1,66,7.6686501016811235,TRUE,FALSE,0.663150101681822
1047,C,1,43,7.670760708733724,FALSE,FALSE,0.6652607087344222
726,C,1,47,7.674573652453546,FALSE,FALSE,0.6690736524542444
682,A,1,68,7.682056641155214,TRUE,FALSE,0.6765566411559121
1040,B,1,66,7.6824499939939415,TRUE,FALSE,0.67694999399464
66,C,1,51,7.6832911701567355,FALSE,FALSE,0.677791170157434
8,C,1,46,7.685094134169049,FALSE,FALSE,0.6795941341697471
863,C,1,49,7.68651535810568,FALSE,FALSE,0.6810153581063787
459,A,1,67,7.68880901618104,TRUE,FALSE,0.6833090161817381
416,B,1,72,7.692071660232614,TRUE,FALSE,0.6865716602333123
1103,B,1,70,7.693214863098547,TRUE,FALSE,0.6877148630992451
735,A,1,74,7.693392781620787,TRUE,FALSE,0.6878927816214855
1202,A,1,77,7.697645942444069,TRUE,TRUE,0.6921459424447676
282,A,1,77,7.698448263985483,TRUE,TRUE,0.6929482639861817
197,B,1,71,7.698826072086376,TRUE,FALSE,0.6933260720870749
979,A,1,73,7.700464546967851,TRUE,FALSE,0.6949645469685493
838,B,1,64,7.704649018643977,TRUE,FALSE,0.6991490186446754
1127,C,1,49,7.705392176343594,FALSE,FALSE,0.6998921763442922
63,A,1,82,7.705739194629132,TRUE,TRUE,0.7002391946298303
822,B,1,65,7.712004562494258,TRUE,FALSE,0.7065045624949562
1035,C,1,46,7.712950218439801,FALSE,FALSE,0.7074502184404992
444,C,1,50,7.714627875862789,FALSE,FALSE,0.7091278758634871
370,A,1,77,7.714676093157323,TRUE,TRUE,0.7091760931580211
212,B,1,64,7.714917063130997,TRUE,FALSE,0.7094170631316956
414,B,1,67,7.715214367595763,TRUE,FALSE,0.7097143675964617
252,A,1,76,7.715270546927059,TRUE,TRUE,0.7097705469277571
447,B,1,66,7.718653280659055,TRUE,FALSE,0.7131532806597534
805,A,1,78,7.720747477666009,TRUE,TRUE,0.7152474776667077
849,C,1,48,7.724817417871236,FALSE,FALSE,0.7193174178719346
865,A,1,73,7.725885588064557,TRUE,FALSE,0.7203855880652554
747,A,1,76,7.7262820040596125,TRUE,TRUE,0.720782004060311
932,A,1,80,7.727272764095687,TRUE,TRUE,0.7217727640963858
233,B,1,66,7.727493664242502,TRUE,FALSE,0.7219936642432003
279,A,1,73,7.730599358888867,TRUE,FALSE,0.7250993588895653
1101,A,1,75,7.730785565927363,TRUE,FALSE,0.7252855659280613
1168,A,1,74,7.730918444249255,TRUE,FALSE,0.7254184442499536
964,A,1,72,7.733349891976104,TRUE,FALSE,0.7278498919768026
1076,A,1,79,7.734954005405598,TRUE,TRUE,0.7294540054062963
575,B,1,61,7.735988024924154,TRUE,FALSE,0.7304880249248527
605,A,1,74,7.739133927905641,TRUE,FALSE,0.7336339279063395
1081,B,1,63,7.739158888660313,TRUE,FALSE,0.7336588886610116
31,A,1,70,7.74055202605814,TRUE,FALSE,0.7350520260588382
69,A,1,74,7.7409043861225655,TRUE,FALSE,0.735404386123264
200,C,1,43,7.740976369404962,FALSE,FALSE,0.7354763694056601
75,A,1,77,7.740988587884203,TRUE,TRUE,0.7354885878849018
676,C,1,50,7.742190604480129,FALSE,FALSE,0.7366906044808275
458,A,1,81,7.743463875805901,TRUE,TRUE,0.7379638758065994
669,C,1,45,7.74526295794567,FALSE,FALSE,0.7397629579463683
996,B,1,70,7.745744759082299,TRUE,FALSE,0.7402447590829979
821,C,1,56,7.746254223842698,TRUE,FALSE,0.7407542238433962
615,B,1,62,7.746370678090898,TRUE,FALSE,0.7408706780915963
236,C,1,48,7.746656748873647,FALSE,FALSE,0.7411567488743458
657,B,1,74,7.747636135009088,TRUE,FALSE,0.7421361350097868
818,C,1,60,7.749266914313921,TRUE,FALSE,0.7437669143146195
664,B,1,62,7.749871699350479,TRUE,FALSE,0.7443716993511771
86,B,1,67,7.750947656124481,TRUE,FALSE,0.7454476561251795
440,B,1,67,7.7525042686429515,TRUE,FALSE,0.74700426864365
471,C,1,49,7.753800927166594,FALSE,FALSE,0.7483009271672927
620,C,1,58,7.753981740854215,TRUE,FALSE,0.7484817408549134
485,C,1,47,7.754189610004687,FALSE,FALSE,0.7486896100053855
506,C,1,48,7.7569886720739305,FALSE,FALSE,0.751488672074629
110,B,1,69,7.757137726010114,TRUE,FALSE,0.7516377260108129
894,C,1,45,7.757314294147363,FALSE,FALSE,0.7518142941480619
641,A,1,77,7.758939973882661,TRUE,TRUE,0.7534399738833599
840,A,1,68,7.760857254183065,TRUE,FALSE,0.7553572541837639
1131,A,1,74,7.761230403364607,TRUE,FALSE,0.7557304033653054
166,A,1,78,7.764440348208154,TRUE,TRUE,0.7589403482088528
372,A,1,71,7.76486201843727,TRUE,FALSE,0.7593620184379688
159,C,1,54,7.765219970682665,FALSE,FALSE,0.7597199706833635
215,A,1,72,7.76559460714634,TRUE,FALSE,0.7600946071470389
34,C,1,50,7.7656411821517395,FALSE,FALSE,0.760141182152438
937,C,1,55,7.766360016834369,TRUE,FALSE,0.7608600168350677
472,C,1,50,7.766899155023566,FALSE,FALSE,0.7613991550242645
580,C,1,47,7.7673404105662485,FALSE,FALSE,0.761840410566947
