Período,Sección,Ciclo,Edad,Estatura (cm),Peso (kg),Signo del zodiaco,Sexo,Carrera,Tiempo de reacción,Juega videojuegos,Hace deporte,Color favorito,Talla de zapato,Talla de polo,Sistema operativo,Fecha de nacimiento,Indicaciones,,
2020.2,3,5,21,180,68,geminis,M,Ing.Electrónica,300,no,no,,,,,,,,
2020.2,1,6,19,170,63,Géminis ,M,Bioingenieria ,,si,si,,,,,,FALSE,,
2020.1,1,3,17,153,50,Escorpio,M,Ing.Mecatronica,381,No,No,,,,,,FALSE,,
2020.1,1,5,18,172,74,Aries,F,Ing. Industrial,381,no,no,,,,,,FALSE,,
2020.1,5,3,18,181,81,Aries,M,Ing. Mecatronica,332,Si,Si,,,,,,FALSE,,
2020.2,3,4,18,153,55,Virgo,F,Ing. Mecatrónica,405,no,no,,,,,,FALSE,,
2020.1,3,3,17,160,65,Tauro,M,Ciencia de la Computación,244,Sí,Sí,,,,,,FALSE,,
2020.1,1,4,22,177,62,Aries,M,Ciencia de la Computación,,Sí,,,,,,,FALSE,,
2020.1,3,3,17,166,68,Aries,M,Ing. Mecatrónica,173,Si,Si,,,,,,FALSE,,
2020.1,3,3,18,165,51,Sagitario,F,Ing.Industrial,887,No,Si,,,,,,FALSE,,
2020.2,3,3,18,174,64,Acuario,M,Ing. Civil,200,Si,Si,,,,,,FALSE,,
2020.2,1,8,20,,,Géminis,M,Ing Mecatronica,293,si,no,,,,,,FALSE,,
2020.1,5,7,24,174,95,Acuario,M,Ing. Mecánica,230,Sí,No,,,,,,FALSE,,
2020.2,1,6,20,173,,Geminis,M,Ing. de la Energía,,si,si,,,,,,FALSE,,
2020.2,3,3,21,179,70,Geminis,M,Ing. de la Energía,276,Sí,Sí,,,,,,FALSE,,
2020.2,4,8,20,170,65,Piscis,M,Ing. Mecánica,,Si,Si,,,,,,FALSE,,
2021.1,2,4,20,179,80,Piscis,M,Ciencia de la Computación,243,Sí,Sí,,,,,,FALSE,,
2020.1,5,5,18,163,51,Capricornio,M,Ciencia de la Computación ,,No,Sí,,,,,,FALSE,,
2020.2,2,3,21,169,60,Cáncer,M,Ciencias de la Computación,,,,,,,,,FALSE,,
2021.1,4,3,17,160,57,Virgo,F,Ing. Civil,272,No,Si,,,,,,FALSE,,
2020.1,5,7,20,173,62,Piscis,M,Ciencias de la computación,172,Si,No,,,,,,FALSE,,
2020.1,6,5,18,175,75,Cancer,M,Ciencia de la Computación,193,Si,Si,,,,,,FALSE,,
2020.2,3,4,18,162,51,Virgo,M,Ing. Civil,282,si,no,,,,,,FALSE,,
2020.1,1,3,17,178,63,Tauro,M,Ing. Mecatrónica,295,si,si,,,,,,FALSE,,
2020.2,3,2,17,178,75,Piscis,M,Ciencias de la computacion,,,,,,,,,FALSE,,
2020.1,2,5,20,181,80,Sagitario,M,Ing. Industrial,252,Si,Si,,,,,,FALSE,,
2021.1,2,5,20,165,63,Aries,F,Ing. Mecatronica,239,No,Si,,,,,,FALSE,,
2020.2,,4,18,168,56,,M,Ing.Ambiental,299,si,no,,,,,,FALSE,,
2020.2,4,4,18,170,74,Aries,M,Ing. Mecanica,250,si,si,,,,,,FALSE,,
2021.1,3,5,18,172,80,Cáncer,M,Ciencia de la Computación,225,Sí,Sí,,,,,,FALSE,,
2020.1,2,2,17,170,,,M,Ing. Mecatronica,220,Si,si,,,,,,FALSE,,
2020.1,3,5,19,182,75,Acuario,M,Ing. Industrial,289,Si,No,,,,,,FALSE,,
2021.1,1,6,20,180,82,Libra,M,Ing. Mecanica,220,Si,Si,,,,,,FALSE,,
2020.2,4,6,20,160,60,Virgo,F,Bioingeniería,360,Si,Si ,,,,,,FALSE,,
2020.1,5,5,19,186,104,Cáncer,M,Ciencia de la Computación ,260,Si,No,,,,,,FALSE,,
2020.1,2,5,19,166,60,Acuario,F,Ing. Industrial,257,No,Sí,,,,,,FALSE,,
2020.1,1,3,18,163,52,Géminis ,M,Ing. Industrial,379,Sí,Sí,,,,,,FALSE,,
2020.2,4,4,18,176,79,Acuario,M,Ciencias de la Computación,307,Si,No,,,,,,FALSE,,
2020.1,1,3,18,174,70,Escorpio,M,Ing. Mecatrónica,275,Sí,No,,,,,,FALSE,,
2020.2,1,4,19,159,52,Capricornio,F,Ing. Ambiental,187,no,sí,,,,,,FALSE,,
2020.1,3,3,18,179,78,Virgo,M,Bioingeniería,251,Si,Si,,,,,,FALSE,,
2020.1,6,4,19,178,70,libra,M,ing. energía,235,Sí,Sí,,,,,,FALSE,,
2021.1,3,3,18,180,75,Acuario,M,Ing. Civil,253,No,Si,,,,,,FALSE,,
2020.2,4,4,18,160,60,Virgo,F,Ing. Mecatrónica,295,si,si,,,,,,FALSE,,
2020.1,5,3,20,183,75,Geminis,M,Ing. electronica,273,Si,No,,,,,,FALSE,,
2020.2,4,4,21,183,76,Geminis,M,Ing. electronica,249,Si,No,,,,,,FALSE,,
2020.1,6,5,18,152,55,Geminis,F,Bioingeniería,503,No,Si,,,,,,FALSE,,
2020.2,3,3,17,172,62,Sagitario,M,Ing. Mecatrónica,283,Si,Si,,,,,,FALSE,,
2020.1,3,5,19,170,80,Sagitario,M,Ciencias de la Computación,258,Si,No,,,,,,FALSE,,
2020.2,1,6,25,172,65,Libra,M,Bioingeniería,194,Si,no,,,,,,FALSE,,
2020.1,5,5,19,170,78,Aries,M,Ing. Mecatronica,329,Si,Si,,,,,,FALSE,,
2020.2,1,2,19,181,75,Capricornio,M,Ing. Ambiental,151,no,si,,,,,,FALSE,,
2020.1,1,5,19,169,76,Sagitario,M,Ing. Química,405,Si,No,,,,,,FALSE,,
2020.2,5,3,19,170,64,Libra,M,Ing. Industrial,,,,,,,,,FALSE,,
2020.2,3,4,18,160,55,Libra,F,Bioingeniería,290,no,si,,,,,,FALSE,,
