Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
21,175,80,M,43,M,FALSE,13
17,180,79,M,43,L,FALSE,13
19,NA,79,M,42,L,FALSE,13
21,168,64,M,42,M,FALSE,14
19,160,54,M,37,S,FALSE,13
19,154,55,F,36,S,TRUE,15
19,171,60,M,40.5,NA,FALSE,14
17,164,60,F,39,S,TRUE,13
18,167,57,F,38,S,TRUE,15
20,170,85,M,42,L,FALSE,13
19,172,85,M,43,L,FALSE,12
17,155,41,F,36,XS,FALSE,16
18,172,80,M,40.5,NA,FALSE,14
17,155,60,F,36,S,FALSE,16
18,164,63,M,39,S,TRUE,14
19,162,46,F,34,NA,FALSE,16
20,172,72,M,44,M,FALSE,13
18,170,56,M,40,L,FALSE,13
18,185,85,M,43,XL,FALSE,13
18,175,69,M,41,S,FALSE,14
19,191,83,M,44.5,M,FALSE,12
19,176,79,M,43,L,FALSE,15
19,172,64,M,42,S,FALSE,13
19,180,62,M,42,M,FALSE,12
17,165,52,F,39,S,TRUE,15
19,180,77,M,41,NA,FALSE,14
23,180,78,M,43,M,FALSE,13
19,158,NA,F,37,NA,FALSE,15
19,177,70,M,41.5,NA,FALSE,13
NA,180,NA,M,44,XXL,TRUE,13
20,163,69,M,43,M,FALSE,14
21,176,69,M,43,L,FALSE,14
18,165,75,M,42,M,FALSE,15
19,178,73,M,40,M,FALSE,13
18,183,73,M,44,L,FALSE,13
18,162,51,M,38,NA,TRUE,15
19,161,65,M,42,NA,TRUE,14
20,185,78,M,42,XL,TRUE,13
20,177,90,M,42,L,FALSE,13
19,170,58,M,40,M,TRUE,13
18,170,70,M,42,S,FALSE,14
21,163,64,F,39,L,FALSE,15
23,166,73,M,41,NA,TRUE,14
18,164,70,M,43,NA,TRUE,15
18,173,76,M,39,NA,TRUE,14
20,159,60,F,37,M,FALSE,14
20,165,66,M,41,L,FALSE,15
19,175,65,M,42,M,FALSE,14
19,152,62,F,38,M,FALSE,17
20,165,70,M,40,M,FALSE,14
20,150,48,F,34,S,TRUE,16
23,176,83,M,43,M,FALSE,13
18,170,58,M,39,NA,NA,14
19,164,61,F,38,S,TRUE,15
19,151,52,F,34,NA,FALSE,16
20,164,62,M,38.5,NA,FALSE,15
18,175,60,M,40,NA,TRUE,13
19,178,64,M,40,NA,FALSE,13
19,178,70,M,42,L,FALSE,14
21,156,50,F,36,S,FALSE,16
19,159,55,F,37,M,FALSE,15
18,179,75,M,43,M,FALSE,13
20,173,85,M,42,L,TRUE,13
17,165,53,M,39,NA,FALSE,14
20,172,85,M,43,L,FALSE,12
19,173,71,M,42,M,FALSE,14
21,165,71,M,41,NA,FALSE,15
25,172,75,M,42,L,FALSE,14
20,166,67,M,38,M,FALSE,15
19,184,68,M,43,NA,FALSE,13
21,167,75,M,43,M,TRUE,15
18,NA,NA,F,37,S,FALSE,14
18,164,54,M,40,M,FALSE,15
21,180,83,M,42.5,NA,TRUE,14
18,180,74,M,43,NA,FALSE,12
17,166,68,M,42.5,NA,FALSE,14
20,170,67,M,42,M,TRUE,14
21,163,NA,F,38,M,FALSE,14
20,165,58,F,37.5,NA,TRUE,14
19,170,70,F,36,NA,TRUE,13
17,175,80,F,42,NA,TRUE,14
18,184,82,M,42.5,NA,FALSE,13
18,168.00000000000003,55,M,40,M,FALSE,14
18,174,85,M,42.5,L,FALSE,15
19,155,45,F,36,S,TRUE,14
20,181,83,M,41.5,NA,NA,13
19,165,64,F,39,M,TRUE,14
19,155,52,F,37,S,TRUE,17
22,169,59,M,38,S,TRUE,14
22,157,68,F,37,M,TRUE,15
21,164,55,M,41,M,FALSE,14
18,154,53,F,33,S,FALSE,16
20,170,60,F,38.5,NA,FALSE,14
19,164,73,M,40,M,FALSE,14
18,157,57,F,37,S,TRUE,15
20,180,98,M,44,NA,TRUE,13
NA,169,63,M,41,M,TRUE,13
20,169,78,M,40,L,FALSE,14
19,165,60,F,39,M,TRUE,14
18,160,50,F,37,S,FALSE,16
19,165,67,F,40,M,TRUE,14
17,170,70,M,42,L,TRUE,14
17,160,54,F,37,M,TRUE,14
18,156,56,F,38,S,TRUE,15
19,172,69,M,42,M,FALSE,14
17,184,80,M,45.5,NA,FALSE,13
18,163,62,M,40,NA,FALSE,15
18,179,84,M,44,L,FALSE,13
21,171,64,M,41,NA,FALSE,14
20,173,76,M,44,S,FALSE,13
20,150,49,F,38,S,TRUE,16
17,173,79,M,42,L,FALSE,14
20,155,45,F,35,S,FALSE,15
19,184,75,M,42,L,TRUE,14
18,172,77,M,39,L,FALSE,12
21,160,65,F,37,M,FALSE,16
19,165,51,M,38,M,FALSE,15
18,163,60,F,37,M,FALSE,14
19,154,53,F,35,S,TRUE,16
18,165,70,M,41.5,NA,FALSE,16
20,175,79,M,42,NA,TRUE,13
19,162,55,F,36,S,TRUE,15
18,173,60,M,42,L,FALSE,14
17,175,60,M,41.5,NA,TRUE,14
19,155,48,F,35,NA,TRUE,17
18,168,70,M,41,NA,FALSE,16
18,168,60,M,40,S,FALSE,15
18,183,74,M,41.5,NA,FALSE,13
17,153,47,F,36,S,TRUE,16
18,182,64,M,43,L,FALSE,13
18,164,56,F,39,S,TRUE,15
19,158,49,F,38,S,FALSE,16
19,170,80,M,42,L,FALSE,15
19,154,58,F,37,S,FALSE,15
17,165,64,F,38,M,TRUE,15
17,157,55,F,36,S,TRUE,17
18,170,58,M,42,M,FALSE,13
18,170,85,M,43,NA,TRUE,13
20,178,100,M,43,NA,FALSE,14
18,170,55,M,42,S,TRUE,15
19,167.00000000000003,60,M,39,M,FALSE,13
19,165,49,F,38,S,FALSE,15
20,169,87,M,40.5,NA,NA,13
22,170,68,M,42,M,FALSE,14
18,170,60,M,43,M,FALSE,13
18,176,90,M,45,L,FALSE,13
18,172,64,M,44.5,NA,FALSE,14
21,170,80,M,41,L,FALSE,14
24,155,56,F,36,S,TRUE,15
20,159,58,F,35.5,NA,TRUE,16
18,170,55,M,43,M,FALSE,13
19,185,100,M,45,XL,FALSE,12
25,162,77,F,39,L,TRUE,15
18,182,75,M,43,L,FALSE,13
22,155,64,F,37,NA,TRUE,15
19,156,51,F,37,S,TRUE,15
20,172,65,M,40.5,NA,NA,13
23,170,72,F,37,M,TRUE,14
19,173,75,M,43,L,FALSE,13
19,155,50,F,37,S,TRUE,14
18,159,53,F,36.5,NA,FALSE,15
19,155,62,F,37,M,FALSE,15
21,165,54,F,38,NA,TRUE,15
18,186,98,M,43,XL,FALSE,13
19,172,95,M,42.5,NA,FALSE,13
18,150,NA,F,36,NA,TRUE,18
18,175,74,M,42,L,FALSE,14
NA,166,60,M,41,S,FALSE,14
18,157,50,F,36,M,TRUE,16
20,176,73,M,43.5,NA,NA,14
18,158,50,F,36,S,TRUE,16
18,160,66,F,37,M,FALSE,14
20,163,60,F,37,M,TRUE,14
24,180,77,M,43,L,FALSE,13
17,170,70,M,43,M,FALSE,14
18,169,52,M,42,NA,TRUE,15
22,180,78,M,42.5,M,FALSE,13
18,156,56,F,36.5,NA,TRUE,15
18,172,65,M,41,M,FALSE,14
16,162,55,M,39,M,FALSE,16
22,156,50,F,36,S,TRUE,15
18,156,65,F,36,S,TRUE,15
17,179,87,M,42.5,NA,TRUE,13
19,165,NA,M,40,S,FALSE,14
18,160,50,F,36,S,TRUE,15
18,170,60,M,40,M,FALSE,15
21,175,70,M,42,M,TRUE,14
19,173,64,M,42,M,FALSE,13
18,176,76,M,41,M,FALSE,14
18,165,51,F,35.5,NA,TRUE,15
22,172,90,M,42,L,TRUE,14
19,154,49,F,36,XS,TRUE,15
19,166,68,M,40,M,FALSE,14
18,179,83,M,44,L,TRUE,13
21,180,65,M,42.5,M,TRUE,12
19,172,74,M,42.5,NA,NA,13
20,180,57,M,43,M,FALSE,14
