Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
19,155,48,F,35,S,TRUE,16
18,174,71,M,42,M,FALSE,14
20,176,80,M,42,NA,FALSE,14
20,175,70,M,44,M,FALSE,13
19,165,NA,M,42,M,TRUE,13
18,170,NA,M,41,L,TRUE,14
21,160,68,F,39,M,FALSE,16
19,172,95,M,42.5,NA,FALSE,13
23,158,56,F,36,S,TRUE,16
19,172,64,M,42,S,FALSE,13
18,165,80,F,38,NA,FALSE,15
18,172,72,M,41.5,NA,FALSE,14
20,172,65,M,40.5,NA,NA,13
20,NA,NA,M,41,L,FALSE,15
19,181,78,M,44,M,FALSE,13
20,153,50,F,37,S,TRUE,15
19,168.00000000000003,65,M,42,M,TRUE,14
19,153,51,F,35.5,NA,FALSE,16
17,167,70,M,41,M,FALSE,14
19,176,64,M,41,S,FALSE,13
18,165,75,M,41,NA,TRUE,14
19,179,70,M,44.5,NA,FALSE,13
19,165,60,F,38,M,TRUE,14
25,170,64,M,41,S,FALSE,13
21,173,60,M,42,S,FALSE,14
17,169,71,M,39,M,FALSE,14
23,170,68,M,39,S,FALSE,14
17,171,61,M,40,NA,FALSE,15
18,162,62,M,39,M,FALSE,14
19,164,73,M,40,M,FALSE,14
18,174,76,M,44,L,FALSE,14
20,165,48,F,35,NA,TRUE,15
18,168,60,M,40,S,FALSE,15
18,158,46,F,36,S,TRUE,15
17,168.00000000000003,56,M,42,M,FALSE,15
23,180,78,M,43,M,FALSE,13
19,168,60,M,42,M,FALSE,14
20,184,78,M,42,NA,FALSE,13
19,165,51,M,38,M,FALSE,15
21,174,79,M,43,L,FALSE,13
18,173,67,M,43,S,FALSE,14
20,178,81,M,42,L,FALSE,13
18,176,68,M,44,M,FALSE,13
22,173,80,M,41,M,FALSE,13
17,155,55,M,38,S,FALSE,14
18,172,65,M,41,M,FALSE,14
20,170,67,M,42,M,TRUE,14
18,172,72,F,40,M,FALSE,14
19,160,64,F,38,M,FALSE,15
20,160,60,M,40,L,TRUE,15
18,176,66,M,44,M,FALSE,13
18,155,55,F,37.5,M,TRUE,16
18,159,62,M,40,M,FALSE,15
17,170,74,M,41.5,NA,FALSE,14
20,173,85,M,42,L,TRUE,13
19,170,78,M,41.5,NA,FALSE,13
19,172,71,M,42,L,TRUE,15
19,170,67,M,41,S,FALSE,14
19,170,60,M,40,M,FALSE,13
21,174,68,M,42,M,FALSE,13
19,165,63,M,40,M,TRUE,14
18,160,65,F,38,M,FALSE,15
21,165,54,F,38,NA,TRUE,15
18,179,103,M,44,XL,FALSE,12
20,160,60,F,37,NA,TRUE,18
19,174,70,M,43,M,FALSE,13
22,168,65,M,41,M,FALSE,14
19,175,74,M,41,NA,FALSE,13
18,159,54,F,37.5,S,FALSE,15
18,167,NA,F,42,NA,FALSE,13
18,178,68,M,44,M,FALSE,13
19,152,58,F,35,M,FALSE,16
21,173,62,M,42,S,FALSE,14
18,176,75,M,43,L,FALSE,13
18,176,68,M,42,M,FALSE,14
22,161,51,F,37,S,FALSE,16
19,170,68,M,41,L,TRUE,14
18,179,64,M,42,M,TRUE,13
20,165,63,M,38,S,FALSE,14
19,163,68,M,40,M,FALSE,14
19,186,104,M,44,NA,TRUE,12
19,154,NA,F,36,S,TRUE,17
18,186,73,M,41.5,NA,TRUE,13
17,178,82,M,40.5,NA,FALSE,13
18,167.00000000000003,71,M,41,M,FALSE,14
20,169,60,M,42,M,FALSE,14
20,150,60,F,35,M,TRUE,16
18,173,90,M,44,L,FALSE,13
23,176,83,M,43,M,FALSE,13
20,169.00000000000003,68,F,39,L,FALSE,14
18,171,66,M,42,M,TRUE,13
18,158,70,F,36,XS,NA,15
19,173,64,M,42,M,FALSE,13
18,178,78,M,44,M,FALSE,14
17,157,53,F,35,NA,TRUE,17
18,160,55,F,38,S,TRUE,15
19,180,76,M,42,L,FALSE,12
20,155,45,F,35,S,FALSE,15
20,175,71,M,42,M,FALSE,15
19,159,55,F,37,M,FALSE,15
17,175,78,M,41,NA,TRUE,13
23,167,70,M,40.5,NA,FALSE,14
18,186,98,M,43,XL,FALSE,13
19,172,61,M,41,M,FALSE,13
20,155,65,F,39,M,TRUE,16
18,183,89,M,41.5,NA,FALSE,13
18,165,55,M,36,M,TRUE,15
20,159,78,F,37,M,FALSE,16
19,171,62,M,41,S,FALSE,13
20,160,60,M,39,M,FALSE,14
18,181,88,M,44.5,NA,FALSE,13
20,176,74,M,43.5,NA,FALSE,14
24,176,67,M,42,NA,FALSE,13
20,179,79,M,42.5,NA,NA,14
19,178,70,M,41.5,NA,FALSE,13
18,169.00000000000003,59,M,40,M,FALSE,14
18,153,47,F,34.5,NA,FALSE,16
19,163,64,M,40,M,FALSE,15
18,167.00000000000003,63,M,41,M,FALSE,14
19,153,45,F,36.5,NA,TRUE,15
20,168.00000000000003,65,M,40,M,FALSE,14
20,180,75,M,43,NA,FALSE,13
17,178,63,M,41,NA,FALSE,14
20,172,71,M,40,M,FALSE,13
19,157,60,F,38,M,TRUE,15
18,186,74,M,44,L,FALSE,13
18,185,94,M,43,XL,FALSE,12
18,154,55,F,38,M,TRUE,16
18,155,56,F,36,S,FALSE,16
19,188,75,M,44,M,FALSE,12
17,186,85,M,45,XL,FALSE,12
17,165,53,M,41,S,FALSE,14
17,170,60,M,39,S,FALSE,14
18,168,60,M,42,M,TRUE,14
18,178,55,M,42,M,FALSE,12
20,160,49,F,36,S,TRUE,15
17,163,54,NA,36,M,TRUE,14
17,160,54,F,37,M,TRUE,14
18,185,109,M,43.5,NA,FALSE,13
17,160,50,F,37,S,TRUE,16
22,151,45,F,37,NA,TRUE,16
19,160,51,F,37,S,TRUE,15
19,178,64,M,40,NA,FALSE,13
18,170,55,M,44,S,TRUE,13
17,172,62,M,37.5,NA,FALSE,15
20,170,85,M,41,NA,TRUE,14
18,160,90,M,45,L,FALSE,15
18,158,50,F,38,M,TRUE,14
20,174,64,M,41,S,FALSE,13
19,172,76,M,42,NA,NA,12
22,183,90,M,45,L,FALSE,13
25,160,52,F,36.5,NA,FALSE,16
17,160,60,F,37,NA,FALSE,16
17,187,83,M,42,XL,FALSE,13
19,176,79,M,43,L,FALSE,15
19,163,55,M,38,S,FALSE,15
19,177,70,M,41.5,NA,FALSE,13
20,181,83,M,41.5,NA,NA,13
22,162,65,F,37,S,FALSE,14
18,167,60,M,40.5,NA,TRUE,14
21,163,55,M,39,NA,TRUE,14
19,163,49,F,35.5,NA,TRUE,15
19,184,75,M,42,L,TRUE,14
18,169,NA,M,42,M,FALSE,14
22,167,60,M,41,L,FALSE,15
20,158,70,F,39,L,FALSE,17
18,154,54,F,38,S,FALSE,15
18,168,61,M,40,M,FALSE,14
19,170,63,M,40.5,NA,FALSE,13
19,156,62,F,36,M,TRUE,16
20,179,55,M,42.5,NA,FALSE,14
18,174,70,M,43,NA,FALSE,14
20,162,57,F,38,M,FALSE,14
18,165,NA,M,42,S,TRUE,14
17,170,70,M,43,M,FALSE,14
18,163,45,F,38,S,TRUE,15
22,170,80,M,41,NA,FALSE,13
19,155,59,F,36,S,FALSE,16
18,162,58,M,37.5,NA,NA,15
19,175,57,M,40,M,FALSE,14
19,168.00000000000003,59,M,41.5,S,FALSE,14
NA,180,75,M,41,L,TRUE,15
19,152,50,F,36,S,TRUE,14
19,174,96,M,44,L,FALSE,13
18,175,88,M,43,L,TRUE,13
18,160,49,F,35.5,NA,TRUE,15
21,169,75,M,42,M,FALSE,13
22,175,67,F,38.5,NA,NA,14
21,178,75,M,42,L,FALSE,14
20,173,60,M,41.5,NA,FALSE,14
18,NA,NA,M,42,M,TRUE,15
20,171,61,M,41,NA,NA,15
18,157,56,F,36,S,FALSE,16
21,177,85,M,43,L,FALSE,14
19,161,60,F,37,M,TRUE,15
19,175,73,M,44,L,FALSE,13
19,165,62,F,37.5,NA,FALSE,14
19,155,55,F,35,S,TRUE,17
18,164,62,M,41,S,FALSE,15
21,172,69,M,41.5,NA,NA,14
18,175,NA,M,45,M,FALSE,13
17,170,70,M,43,NA,TRUE,13
21,180,68,M,43.5,NA,TRUE,14
19,176,68,F,37.5,M,TRUE,14
20,163,60,F,38,M,FALSE,14
19,175,70,M,41.5,NA,FALSE,13
22,169,59,M,38,S,TRUE,14
18,162,65,M,40,NA,NA,14
18,153,65,F,36,M,TRUE,16
21,164,78,M,41,M,TRUE,16
19,153,51,F,36,S,TRUE,16
21,190,100,M,47,XL,TRUE,13
17,177,58,M,41,M,FALSE,14
25,169,78,M,42,M,FALSE,14
20,172,85,M,43,L,FALSE,12
20,180,NA,M,45,L,TRUE,13
20,175,70,M,40,M,FALSE,13
18,154,55,F,35,NA,TRUE,18
18,160,84,M,42,NA,TRUE,15
22,175,60,M,42,M,FALSE,13
18,160,55,F,35.5,NA,TRUE,14
19,180,90,M,45,NA,FALSE,13
21,172,75,M,44,M,FALSE,14
29,167,72,M,41,M,FALSE,14
18,172,70,F,38.5,M,TRUE,14
20,159,58,F,38,M,TRUE,16
18,158,54,F,38,M,FALSE,16
21,161,55,F,38,S,FALSE,16
19,154,46,F,36,S,TRUE,15
19,174,65,M,39,M,FALSE,14
21,165,63,F,38,M,TRUE,14
22,177,62,M,42,NA,NA,13
22,156,50,F,36,S,TRUE,15
19,170,75,M,42.5,M,FALSE,14
18,168,82,M,41,L,FALSE,14
18,159,55,F,36,M,TRUE,16
21,185,80,M,44,L,FALSE,12
17,170,65,M,41,NA,FALSE,15
18,158,59,F,37,M,TRUE,15
19,154,53,F,35,S,TRUE,16
18,175,90,M,44,M,FALSE,13
18,174,59,M,41,S,FALSE,14
19,174,65,M,42,M,FALSE,13
25,172,75,M,44,M,FALSE,14
18,165,58,F,38,M,FALSE,14
20,170,69,M,41,M,FALSE,14
19,166,60,M,41,M,FALSE,14
20,187,83,M,47,L,FALSE,13
18,163,62,F,37,M,TRUE,14
18,173,70,M,43,XL,FALSE,14
20,175,85,M,43.5,NA,TRUE,13
21,183,78,M,43.5,NA,FALSE,13
19,166,68,M,40,M,FALSE,14
18,168,51,M,42,S,TRUE,13
19,178,72,M,42.5,NA,TRUE,13
18,170,70,F,36,M,TRUE,14
21,167,68,M,41,M,FALSE,13
18,182,75,M,44,L,FALSE,13
20,165,47,M,41,NA,FALSE,14
19,NA,NA,F,39,M,FALSE,14
19,177,74,M,43,M,FALSE,14
18,186,72,M,42,L,TRUE,12
18,160,65,M,42,M,FALSE,14
19,172,76,M,44,L,TRUE,14
22,175,60,M,44,NA,TRUE,13
