Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
18,173,68,M,42,NA,FALSE,14
19,155,47,F,37,M,TRUE,16
19,163,57,M,38,M,FALSE,15
19,165,55,M,40,S,FALSE,15
20,169,86,M,43,L,FALSE,14
21,180,78,M,43,L,FALSE,12
18,152,55,F,35.5,NA,TRUE,16
18,166,61,M,39,NA,FALSE,15
20,159,58,F,35.5,NA,TRUE,16
19,181,112,M,45,NA,TRUE,14
20,NA,55,NA,37,M,FALSE,14
18,175,73,M,41.5,NA,FALSE,14
19,165,60,F,38,M,TRUE,14
25,156,55,F,37,NA,TRUE,16
19,179,70,M,44.5,NA,FALSE,13
18,158,70,F,36,XS,NA,15
18,154,NA,F,36.5,NA,FALSE,14
17,165,60,F,37,S,FALSE,15
17,160,60,M,41,M,TRUE,14
17,184,80,M,45.5,NA,FALSE,13
19,163,74,F,38,M,TRUE,14
18,165,57,F,36,S,FALSE,14
20,170,85,M,41,M,FALSE,13
19,162,59,M,39,M,TRUE,15
18,178,75,M,42,L,TRUE,13
20,150,49,F,38,S,TRUE,16
18,176,62,M,41,NA,TRUE,14
18,170,58,M,39,NA,NA,14
17,187,83,M,42,XL,FALSE,13
18,164,70,M,43,NA,TRUE,15
18,178,56,M,40.5,NA,TRUE,14
18,165,60,M,36,S,FALSE,13
20,170,78,M,44,L,FALSE,14
18,176,61,M,42,M,FALSE,14
17,164,55,F,36.5,NA,FALSE,15
20,171,78,M,42,L,TRUE,14
20,150,48,F,34,S,TRUE,16
19,180,69,M,43,M,FALSE,13
19,172,85,M,43,L,FALSE,12
18,160,65,F,38,M,FALSE,15
18,165,69,F,40,M,TRUE,15
17,174,69,M,43,M,FALSE,13
21,185,80,M,44,L,FALSE,12
18,168,69,M,40,M,FALSE,14
18,154,55,F,38,M,TRUE,16
18,176,67,M,40,M,FALSE,14
19,175,90,M,42,NA,TRUE,13
20,184,90,M,44,L,FALSE,12
19,174,72,M,43,M,TRUE,14
18,152,50,F,36,S,TRUE,15
