"Año","Estacion","Barco","Sexo","Largo","Peso"
2007,"Verano","La sirena","Macho",7.07678216182547,42.0085878472907
2007,"Verano","La sirena","Hembra",7.30756169068154,59.0244343163401
2007,"Verano","La sirena","Macho",9.84553459532734,91.611079244608
2007,"Verano","La sirena","Hembra",9.40127356312759,113.288176030444
2007,"Verano","La sirena","Hembra",6.68900015520556,61.7094622942987
2007,"Verano","La sirena","Macho",7.93824933355621,73.1268733230573
2007,"Verano","La sirena","Macho",6.57688870131395,40.9771355972606
2007,"Verano","La sirena","Hembra",6.01509871534964,35.6136085722768
2007,"Verano","La sirena","Macho",8.35520422301984,73.4066959655839
2007,"Verano","La sirena","Macho",7.9653400942604,67.8137447281366
2007,"Verano","La sirena","Hembra",8.3831568789843,84.6674889495807
2007,"Verano","La sirena","Macho",8.4674593210621,60.6048548434366
2007,"Verano","La sirena","Hembra",9.5589581972759,123.468218349535
2007,"Verano","La sirena","Macho",8.44951575762176,76.8006850629604
2007,"Verano","La sirena","Macho",7.052059067115,44.8949571111938
2007,"Verano","La sirena","Hembra",7.61824089769446,70.9335080501477
2007,"Verano","La sirena","Macho",7.87593525182999,57.8226903989289
2007,"Verano","La sirena","Macho",8.62702887718422,77.1401355779881
2007,"Verano","La sirena","Macho",6.33254340040653,36.1280825042729
2007,"Verano","La sirena","Hembra",8.27882935738914,77.6164960365529
2007,"Verano","La sirena","Hembra",9.6607207122015,119.372801726711
2007,"Verano","La sirena","Hembra",8.37006389051862,83.6534601117239
2007,"Verano","La sirena","Hembra",7.66189519888673,60.0937030911501
2007,"Verano","La sirena","Hembra",8.16886579788935,76.3328016344455
2007,"Verano","La sirena","Hembra",9.83757825443438,112.006956108495
2007,"Verano","La sirena","Hembra",9.16005275345696,101.391179874575
2007,"Verano","La sirena","Macho",10.2023488601387,125.113947684361
2007,"Verano","La sirena","Hembra",8.66691742859413,70.3749495774127
2007,"Verano","La sirena","Macho",8.79746766403372,75.5670345117061
2007,"Verano","La sirena","Macho",7.15062324900817,50.0543764136812
2007,"Verano","La sirena","Hembra",9.2264448027164,126.146566841124
2007,"Verano","La sirena","Hembra",7.89239974937291,76.4513381020454
2007,"Verano","La sirena","Hembra",6.79532139436511,50.9119406613505
2007,"Verano","La sirena","Hembra",8.65359155882095,78.8109000059096
2007,"Verano","La sirena","Macho",11.4079470701434,148.350398519253
2007,"Verano","La sirena","Macho",9.4615543772742,99.7681449656277
2007,"Verano","La sirena","Hembra",9.89830406793551,117.079023495216
2007,"Verano","La sirena","Macho",8.71005472925836,75.436063133618
2007,"Verano","La sirena","Macho",7.06545279686242,47.8987462510828
2007,"Verano","La sirena","Macho",7.75619054631252,62.3516502107032
2007,"Verano","La sirena","Macho",7.63547821841973,59.4283257116481
2007,"Verano","La sirena","Macho",7.30321037437045,52.0941521284598
2007,"Verano","La sirena","Macho",9.29708438268052,84.4999273890374
2007,"Verano","La sirena","Macho",6.0644820459788,38.3315234303615
2007,"Verano","La sirena","Macho",9.57282242459172,93.4355392803444
2007,"Verano","La sirena","Macho",9.56905922658402,105.84429142109
2007,"Verano","La sirena","Macho",6.06234198958313,33.2840821352948
2007,"Verano","La sirena","Macho",9.18713639643091,90.2807458866466
2007,"Verano","La sirena","Macho",12.2313853089857,152.60221766965
2007,"Verano","La sirena","Hembra",7.83134142167007,64.6574927445285
2007,"Verano","La sirena","Macho",9.53633721039372,92.8264515979234
2007,"Verano","La sirena","Macho",6.77025686244701,38.9302617473423
2007,"Verano","La sirena","Hembra",9.83285370184336,105.079388980918
2007,"Verano","La sirena","Macho",8.52470202387516,76.5672175267104
