"Bodega","Distrito","Aforo","Productos","Ventas1","Ventas2","Ventas3","Ventas4"
"gratificador libretazo","San Juan de Lurigancho",3,52,4710.39,3540,4282.16,3816.6
"ocurrente audímetro","Los Olivos",3,49,2357.13,2175.72,2362.68,2036.44
"falseamiento alemanda","Ate",5,82,1446.88,1934.97,1398.21,1804
"molinete recrujir","San Juan de Lurigancho",13,225,2007.48,1665.18,1638.74,2038.15
"reclinar sarpullido","Villa María del Triunfo",5,65,810.44,1039.16,920.39,1099.05
"morenito chuparrosa","Ate",2,26,1864.94,2594.67,2150.39,2064.62
"estruendosamente desherrumbramiento","San Juan de Lurigancho",3,63,1103,1210.67,1010.66,1094.7
"incoativo almidonar","San Martin de Porres",4,72,1509.52,1431.75,1660.01,1477.99
"cableado barretero","San Juan de Miraflores",6,84,1718.72,1210.85,1502.64,1265.81
"niquelado remudamiento","San Martin de Porres",7,98,1039.15,990.7,1190.55,1397.03
"acertero hidalguez","Ate",4,45,2722.96,2362.5,2517.24,2911.74
"kilómetro escabioso","San Juan de Lurigancho",5,71,1194.81,1131,1126.98,1132.24
"morigerar chuscada","San Juan de Lurigancho",2,30,2649.9,3041.95,2898.96,3268.21
"gemiqueo desafiador","Santiago de Surco",8,116,4141.02,3318.52,4133.82,3906.3
"granujería desestimatorio","Villa María del Triunfo",6,97,2058.86,1336.76,1271.97,2038.84
"peristáltico trancazo","San Borja",2,40,2553.5,1675.04,1900.74,2717.52
"arborícola empresario","Chorrillos",3,47,2276.57,1969.93,1644.85,1873.72
"dentrambos hipocalcemia","Comas",3,44,2097.01,2401.35,1735.91,2075.47
"historismo holocausto","Ate",13,228,3397.49,4092.14,3425.71,3586.14
"predecible encadenar","Comas",5,77,1424.07,1251.89,1168.22,1573.19
"bermudeño estornino","Villa María del Triunfo",5,67,3556.08,3636.69,3581.79,3447.75
"irrenunciable aceitunillo","San Martin de Porres",5,72,1126.25,1216.82,1260.16,1110.42
"pirometría fractura","Ate",4,62,3071.22,3823.15,3639.26,3899.02
"tendinitis baladrear","La Molina",13,172,2480.79,2448.69,2218.69,2655.26
"dietario descodificador","San Juan de Lurigancho",10,159,1049.92,1095.06,1315.63,1077.77
"persecutor amoladera","San Juan de Miraflores",2,35,4438.69,3707.3,3269.4,3764.73
"reflexión farfullero","San Juan de Lurigancho",12,171,2097.55,1767.42,2741.09,2093.9
"parrilludo calvitar","Surquillo",9,141,1662.78,1750.94,1678.41,2052.41
"recolector esperpento","Santa Anita",13,196,4596.54,4243.05,4067.35,4036.7
"misceláneo deschingar","Lince",2,27,1306.21,1398.33,1523.57,938.32
"floreciente remoldar","Comas",9,133,3263.08,3302.82,4474.05,3821.42
"zangotear desinfección","Jesús María",5,73,1664.41,1930.73,1737.27,1410.63
"excéntrico automática","Los Olivos",2,20,3428.91,3787.2,3921.49,4227.07
"anfineuro griterío","San Juan de Lurigancho",4,62,854.99,1122.53,1106.65,802.11
"churumbela desamartelar","Comas",5,69,1476.53,994.52,1590.45,1350.17
"cordería circasiano","San Martin de Porres",12,192,1514.17,1375.46,1125.98,1057.35
"coterráneo ataracea","Independencia",9,130,1903.48,2078.68,1613.36,2056.91
"violonchelo desacollar","Santiago de Surco",8,116,4851.83,3823.92,4904.1,4505.63
"descantar intercelular","La Molina",8,108,4113.51,3798.63,3660.04,3879.71
"inyector concesivo","Chorrillos",10,143,4061.02,3925.17,3702.87,4054.88
"conglutinante contusión","Santiago de Surco",8,127,2367.74,2544.22,2158.16,2143.28
"alhondiguero quincenario","Comas",2,33,3057.59,3351.27,3088.49,2629.33
"usadamente poncella","El Agustino",2,30,4491.03,4457.66,3936.96,4107.56
"farmacológico retrechero","San Martin de Porres",5,76,1314.39,1264.64,993.12,1126.85
"antoniniano arquiepiscopal","San Juan de Lurigancho",2,33,1014.22,1065.91,947.49,721.92
"industrioso heroísmo","Santiago de Surco",4,50,2389.28,1488.84,2033.51,1810.06
"diminuir tianguis","San Juan de Miraflores",3,43,1305.17,1125.61,1193.53,1054.53
"bergamoto zaramagullón","Chorrillos",5,73,1147.62,1703.22,1518.79,1314.11
"jilmaestre egipciano","San Juan de Miraflores",4,69,3099.83,2621.68,2602.11,2904.34
"transfusión extorsivo","Villa María del Triunfo",5,84,980.35,1251.65,1136.62,918.27
"definidor nuececilla","San Martin de Porres",4,51,4334.62,3291.84,4196.36,3157.55
"rectángulo manoteado","San Juan de Miraflores",2,42,1631.5,1832.33,1403.11,1476.43
"buscapiés lorantáceo","Puente Piedra",8,128,1796.41,1294.4,1505.69,1628.23
"confesionario pesadura","San Juan de Lurigancho",7,103,2293.5,2249.79,2420.82,2332.79
"proliferar cuajadillo","Comas",3,38,3564.73,3542.36,3368.3,3177.54
"descomprimir apetecedor","Ate",2,33,3031.39,2864.96,2591.84,2835.47
"contenteza heptasílabo","San Martin de Porres",9,135,1376.13,1177.71,1399.89,1056.61
"desaquellarse atingido","San Juan de Lurigancho",3,64,1318.79,1377.34,1174.17,1284.87
"cofactor palmesano","Rimac",2,33,2092.09,2986.22,3205.8,2687.09
"plumerilla confutador","San Martin de Porres",4,66,2492.71,2244.74,2336.41,3111.49
"magnesiotermia hidrográfico","Santiago de Surco",4,54,4510.04,3995.68,4853.93,4419.36
"incompasible cervecear","San Juan de Miraflores",12,152,2214.48,2267.86,2513.07,2172.77
"sincrético boniatillo","Los Olivos",13,180,4231.17,4929.77,4807.99,4281.81
"livianamente Damocles","San Juan de Miraflores",4,61,1403.91,911.57,1239.8,1126.98
"desafinación porcicultura","Independencia",13,169,1833.32,1132.92,721.36,1018.61
"peligrar destacado","San Martin de Porres",3,51,3620.5,3626.09,3566.29,3875.79
"arredrar desaislarse","San Juan de Miraflores",4,63,4058.5,5207.86,4395.78,4011.35
"aguantable cardillar","Independencia",3,37,5333.98,4560.02,5231.45,5248.52
"terciado acapizarse","La Molina",2,33,3082.33,3227.46,3220.38,3581.15
"motonería eternizable","Ate",4,66,4506.74,4486.12,4987.12,4240.58
"quijotescamente paremiario","Villa María del Triunfo",5,77,2272.12,1927.23,2283.08,2319.79
