Pais,Poblacion,Incremento,Densidad,Area,Migracion,Fertilidad,Edad,Urbana
China,1439323776,5540090,153,9388211,-348399,1.7,38,61
India,1380004385,13586631,464,2973190,-532687,2.2,28,35
United States,331002651,1937734,36,9147420,954806,1.8,38,83
Indonesia,273523615,2898047,151,1811570,-98955,2.3,30,56
Pakistan,220892340,4327022,287,770880,-233379,3.6,23,35
Brazil,212559417,1509890,25,8358140,21200,1.7,33,88
Nigeria,206139589,5175990,226,910770,-60000,5.4,18,52
Bangladesh,164689383,1643222,1265,130170,-369501,2.1,28,39
Russia,145934462,62206,9,16376870,182456,1.8,40,74
Mexico,128932753,1357224,66,1943950,-60000,2.1,29,84
Japan,126476461,-383840,347,364555,71560,1.4,48,92
Ethiopia,114963588,2884858,115,1000000,30000,4.3,19,21
Philippines,109581078,1464463,368,298170,-67152,2.6,26,47
Egypt,102334404,1946331,103,995450,-38033,3.3,25,43
Vietnam,97338579,876473,314,310070,-80000,2.1,32,38
DR Congo,89561403,2770836,40,2267050,23861,6,17,46
Turkey,84339067,909452,110,769630,283922,2.1,32,76
Iran,83992949,1079043,52,1628550,-55000,2.2,32,76
Germany,83783942,266897,240,348560,543822,1.6,46,76
Thailand,69799978,174396,137,510890,19444,1.5,40,51
United Kingdom,67886011,355839,281,241930,260650,1.8,40,83
France,65273511,143783,119,547557,36527,1.9,42,82
Italy,60461826,-88249,206,294140,148943,1.3,47,69
Tanzania,59734218,1728755,67,885800,-40076,4.9,18,37
South Africa,59308690,750420,49,1213090,145405,2.4,28,67
Myanmar,54409800,364380,83,653290,-163313,2.2,29,31
Kenya,53771296,1197323,94,569140,-10000,3.5,20,28
South Korea,51269185,43877,527,97230,11731,1.1,44,82
Colombia,50882891,543448,46,1109500,204796,1.8,31,80
Spain,46754778,18002,94,498800,40000,1.3,45,80
Uganda,45741007,1471413,229,199810,168694,5,17,26
Argentina,45195774,415097,17,2736690,4800,2.3,32,93
Algeria,43851044,797990,18,2381740,-10000,3.1,29,73
Sudan,43849260,1036022,25,1765048,-50000,4.4,20,35
Ukraine,43733762,-259876,75,579320,10000,1.4,41,69
Iraq,40222493,912710,93,434320,7834,3.7,21,73
Afghanistan,38928346,886592,60,652860,-62920,4.6,18,25
Poland,37846611,-41157,124,306230,-29395,1.4,42,60
Canada,37742154,331107,4,9093510,242032,1.5,41,81
Morocco,36910560,438791,83,446300,-51419,2.4,30,64
Saudi Arabia,34813871,545343,16,2149690,134979,2.3,32,84
Uzbekistan,33469203,487487,79,425400,-8863,2.4,28,50
Peru,32971854,461401,26,1280000,99069,2.3,31,79
Angola,32866272,1040977,26,1246700,6413,5.6,17,67
Malaysia,32365999,416222,99,328550,50000,2,30,78
Mozambique,31255435,889399,40,786380,-5000,4.9,18,38
Ghana,31072940,655084,137,227540,-10000,3.9,22,57
Yemen,29825964,664042,56,527970,-30000,3.8,20,38
Nepal,29136808,528098,203,143350,41710,1.9,25,21
Venezuela,28435940,-79889,32,882050,-653249,2.3,30,NA
Madagascar,27691018,721711,48,581795,-1500,4.1,20,39
Cameroon,26545863,669483,56,472710,-4800,4.6,19,56
Côte d'Ivoire,26378274,661730,83,318000,-8000,4.7,19,51
North Korea,25778816,112655,214,120410,-5403,1.9,35,63
Australia,25499884,296686,3,7682300,158246,1.8,38,86
Niger,24206644,895929,19,1266700,4000,7,15,17
Taiwan,23816775,42899,673,35410,30001,1.2,42,79
Sri Lanka,21413249,89516,341,62710,-97986,2.2,34,18
Burkina Faso,20903273,581895,76,273600,-25000,5.2,18,31
Mali,20250833,592802,17,1220190,-40000,5.9,16,44
Romania,19237691,-126866,84,230170,-73999,1.6,43,55
Malawi,19129952,501205,203,94280,-16053,4.3,18,18
Chile,19116201,164163,26,743532,111708,1.7,35,85
Kazakhstan,18776707,225280,7,2699700,-18000,2.8,31,58
Zambia,18383955,522925,25,743390,-8000,4.7,18,45
Guatemala,17915568,334096,167,107160,-9215,2.9,23,52
Ecuador,17643054,269392,71,248360,36400,2.4,28,63
Syria,17500658,430523,95,183630,-427391,2.8,26,60
Netherlands,17134872,37742,508,33720,16000,1.7,43,92
Senegal,16743927,447563,87,192530,-20000,4.7,19,49
Cambodia,16718965,232423,95,176520,-30000,2.5,26,24
Chad,16425864,478988,13,1259200,2000,5.8,17,23
Somalia,15893222,450317,25,627340,-40000,6.1,17,47
Zimbabwe,14862924,217456,38,386850,-116858,3.6,19,38
Guinea,13132795,361549,53,245720,-4000,4.7,18,39
Rwanda,12952218,325268,525,24670,-9000,4.1,20,18
Benin,12123200,322049,108,112760,-2000,4.9,19,48
Burundi,11890784,360204,463,25680,2001,5.5,17,14
Tunisia,11818619,123900,76,155360,-4000,2.2,33,70
Bolivia,11673021,159921,11,1083300,-9504,2.8,26,69
